iter	Logloss
0	0.6888410259
1	0.684209133
2	0.6801047952
3	0.6753661419
4	0.6712063548
5	0.6666873254
6	0.6627561354
7	0.658972079
8	0.655054458
9	0.6512944251
10	0.6476415769
11	0.6438034035
12	0.6401932942
13	0.6366585447
14	0.6331225829
15	0.6294649178
16	0.625893411
17	0.6218829147
18	0.6185222246
19	0.6152365802
20	0.612297226
21	0.6091660885
22	0.6066051779
23	0.6036546302
24	0.6011748144
25	0.5985796102
26	0.5953775569
27	0.5928602616
28	0.5902788255
29	0.5876605848
30	0.5851815306
31	0.582422913
32	0.5796620359
33	0.5773981668
34	0.5748149462
35	0.5725133713
36	0.5699795592
37	0.5676463022
38	0.5650972332
39	0.5624219326
40	0.560244517
41	0.5580136196
42	0.5556791275
43	0.5534000544
44	0.5509077111
45	0.5490229105
46	0.5467793449
47	0.5445735929
48	0.5425765307
49	0.5406228356
50	0.5384800089
51	0.5366026781
52	0.5345238259
53	0.5326994188
54	0.5308759209
55	0.528972697
56	0.5269742964
57	0.5253634721
58	0.5236967045
59	0.5222278299
60	0.5206614938
61	0.518912468
62	0.51688719
63	0.5153087059
64	0.5138279739
65	0.5122626287
66	0.5107300255
67	0.5096581917
68	0.5081480549
69	0.5066628163
70	0.5047958214
71	0.5033050234
72	0.5017158562
73	0.5003094213
74	0.4989445645
75	0.4974196867
76	0.496019993
77	0.4945836841
78	0.4929632837
79	0.4917403945
80	0.4903386243
81	0.4889296853
82	0.4876350413
83	0.4863195808
84	0.4849284379
85	0.4836760821
86	0.4822575125
87	0.4811558612
88	0.4801437396
89	0.4789156968
90	0.4778821759
91	0.476679626
92	0.4756139322
93	0.4745741761
94	0.4735119344
95	0.4723614348
96	0.4712200527
97	0.4700196054
98	0.4689230101
99	0.4678314625
100	0.4667266568
101	0.4654399736
102	0.4642824911
103	0.4629300782
104	0.4616587239
105	0.4606937259
106	0.459779532
107	0.4586909981
108	0.4576609323
109	0.4566054185
110	0.4555635607
111	0.4544567613
112	0.4533687384
113	0.4524384849
114	0.4515532853
115	0.4505918926
116	0.4497935815
117	0.4487761726
