iter	Logloss
118	0.4477847933
119	0.4468058483
120	0.4458862943
121	0.4451109219
122	0.4441361883
123	0.4432655076
124	0.4424123649
125	0.4415236975
126	0.440628774
127	0.4397816733
128	0.4389272316
129	0.4380555041
130	0.437098534
131	0.4363089985
132	0.4354003834
133	0.4344921375
134	0.4337235409
135	0.4328995951
136	0.4318947202
137	0.4309836364
138	0.4301969118
139	0.4294114794
140	0.4286569575
141	0.42775493
142	0.4268701839
143	0.4260847901
144	0.4254990835
145	0.4248144386
146	0.4240470891
147	0.4231868962
148	0.4223712656
149	0.4216678424
150	0.4208223217
151	0.4200640765
152	0.4192874142
153	0.4185067374
154	0.4178421896
155	0.4171213925
156	0.4162751393
157	0.4152539537
158	0.4146104624
159	0.4138344128
160	0.4131435667
161	0.4123718099
162	0.4116150087
163	0.4109664681
164	0.4103046728
165	0.4096903756
166	0.4089184396
167	0.4081728073
168	0.4074184903
169	0.4067698506
170	0.4060018401
171	0.4053627686
172	0.4046433308
173	0.4038912695
174	0.4032941369
175	0.4025130218
176	0.4019040454
177	0.4011680553
178	0.4004568796
179	0.3997251085
180	0.3990123789
181	0.39845544
182	0.3977039567
183	0.3969933616
184	0.3963357647
185	0.3956182125
186	0.3948737213
187	0.3942179871
188	0.3934719121
189	0.3927536192
190	0.3920983962
191	0.3914518626
192	0.390843172
193	0.3902369302
194	0.3895243107
195	0.3889131953
196	0.3884611356
197	0.3879904686
198	0.3874459157
199	0.3868752534
200	0.3862538939
201	0.3855662606
202	0.3849663301
203	0.3844588336
204	0.3839693539
205	0.3833982584
206	0.3827900136
207	0.3821716121
208	0.3816302714
209	0.3809901909
210	0.3803324617
211	0.3797874085
212	0.3793708934
213	0.3787789436
214	0.3781582155
215	0.3776170375
216	0.3771117723
217	0.3765987986
218	0.3761443287
219	0.3755826189
220	0.3750811206
221	0.3745637017
222	0.3739116296
223	0.3733674352
224	0.3727696016
225	0.372295081
226	0.3716879585
227	0.3711852771
228	0.370542096
229	0.3700029135
230	0.3694220198
231	0.3687432189
232	0.3681788986
233	0.3676337286
234	0.3671280829
235	0.3666242926
236	0.3660623834
237	0.3655445657
238	0.3650558792
239	0.3644028261
240	0.3638846819
241	0.363354175
242	0.3628274358
243	0.362271881
244	0.3617998832
245	0.3612802954
246	0.3607242066
247	0.360245667
248	0.3597184262
249	0.3591941175
250	0.3585418764
251	0.3579215148
252	0.3572589935
253	0.3566325947
254	0.3561647853
255	0.3557051112
256	0.3552274744
257	0.3546906277
258	0.3541891473
259	0.3537095586
260	0.3532308709
261	0.3527510418
262	0.3523251971
263	0.3517858029
264	0.3513046762
265	0.3508464646
266	0.350371096
267	0.3498340704
268	0.3493379225
269	0.34889141
270	0.3483754648
271	0.3479428395
272	0.3474763638
273	0.3470675428
274	0.3466006435
275	0.3461795593
276	0.3457444096
277	0.3453209895
278	0.3447377975
279	0.344306917
280	0.3436869241
281	0.343145511
282	0.3426059278
283	0.3421629892
284	0.3416206962
285	0.3411835557
286	0.3406945404
287	0.3401104029
288	0.3396493886
289	0.33910069
290	0.3386753955
291	0.338081869
292	0.3376765978
293	0.3372234955
294	0.3366933579
295	0.3362370396
296	0.335669137
297	0.3350867
298	0.3346585259
299	0.334196584
300	0.3337863811
301	0.3331502541
302	0.3327329583
303	0.3323482398
304	0.3316922988
305	0.3311471515
306	0.3307029284
307	0.3303069454
308	0.3299736686
309	0.3295012324
310	0.3290126703
311	0.3285559364
312	0.3281723398
313	0.3277485384
314	0.3273277706
315	0.3268724623
316	0.3264523259
317	0.3260453611
318	0.3255419835
319	0.3250515392
320	0.3246393843
321	0.3241933781
322	0.3237840297
323	0.3233080086
324	0.3228761058
325	0.3222992877
326	0.3220325438
327	0.3216458138
328	0.3212415074
329	0.320802106
330	0.3204575241
331	0.3200448902
332	0.3196543655
333	0.3191026118
334	0.3187100925
335	0.3183742601
336	0.3180034644
337	0.3176977813
338	0.3172460434
339	0.3167405319
340	0.3163609715
341	0.3159546485
342	0.3155914964
343	0.3152647278
344	0.3148131646
345	0.3144395246
346	0.3140981991
347	0.3136828396
348	0.3133873696
349	0.3129067943
350	0.3126203563
351	0.3122203412
352	0.3119333983
353	0.3114449952
354	0.3110814713
355	0.3106485808
356	0.3103331329
357	0.3098499916
358	0.3094218362
359	0.3090425816
360	0.3086790888
361	0.3081949005
362	0.3078326949
363	0.3073830024
364	0.3070423374
365	0.3067417074
366	0.3063190952
367	0.3060429102
368	0.3056305375
369	0.3053302859
370	0.3049890418
371	0.304656549
372	0.3042696712
373	0.3039528119
374	0.3036018847
375	0.3032943379
376	0.3029218723
377	0.3026583178
378	0.3021810552
379	0.3017419777
380	0.3013975702
381	0.3010753617
382	0.3006758569
383	0.3002338266
384	0.2998857412
385	0.299523285
386	0.2991830688
387	0.298757354
388	0.2983732156
389	0.2980246027
390	0.2977394108
391	0.2974038127
392	0.2970251729
393	0.2966855863
394	0.2962967666
395	0.2959958312
396	0.2957334388
397	0.2954311281
398	0.2950635504
399	0.294694179
400	0.2943742213
401	0.2939786974
402	0.2936318785
403	0.2933320022
404	0.292959862
405	0.2926260903
406	0.292266632
407	0.2917928376
408	0.291510005
409	0.2911660235
410	0.2908574974
411	0.2905184955
412	0.2901982704
413	0.2897306197
414	0.2894092481
415	0.2890729848
416	0.28876661
417	0.2884174858
418	0.2880559861
419	0.2876908979
420	0.2873378643
421	0.2868393185
422	0.2864001464
423	0.2860170836
424	0.2857342765
425	0.285290058
426	0.2849239058
427	0.2845948487
428	0.2842433614
429	0.2839677165
430	0.2836981965
431	0.2833865363
432	0.2830028335
433	0.2827022032
434	0.2823544955
435	0.2819983214
436	0.2816952943
437	0.2813678777
438	0.2809931461
439	0.2806490004
440	0.2803179228
441	0.2799983733
442	0.2796177469
443	0.2792787359
444	0.2790567133
445	0.2786458929
446	0.2782112884
447	0.2778400177
448	0.2775470881
449	0.2771924542
450	0.2768888934
451	0.276539324
452	0.27625681
453	0.2759569011
454	0.2756280544
455	0.2752847851
456	0.2749808097
457	0.2746334987
458	0.2742411735
459	0.2738151481
460	0.2735187384
461	0.2732505824
462	0.2729247627
463	0.2726599663
464	0.2723036869
465	0.2720226193
466	0.2717288337
467	0.2711893871
468	0.2709362862
469	0.2706937598
470	0.2704087033
471	0.270095735
472	0.2697732314
473	0.269531578
474	0.2691994068
475	0.2688627007
476	0.2686696267
477	0.2683362848
478	0.267962427
479	0.2676402073
480	0.2673236052
481	0.2670588964
482	0.2666941965
483	0.266397484
484	0.2660448885
485	0.2656141608
486	0.265325422
487	0.265003956
488	0.2646509693
489	0.2643933265
490	0.2641315662
491	0.2638608294
492	0.2635239602
493	0.2632771071
494	0.2630159182
495	0.2626683042
496	0.2623195513
497	0.2620166628
498	0.2617271336
499	0.2614025692
